filename,granularity,distribution,frequency,energy_consumption,id_number
locustfile_even_med_6_120_40_120s_9_requests.csv,coarse,even,med,3509.0999999999995,9
locustfile_even_med_6_120_40_120s_10_requests.csv,coarse,even,med,3501.7,10
locustfile_even_low_60_120_40_120s_1_requests.csv,coarse,even,low,3496.3,1
locustfile_even_low_60_120_40_120s_2_requests.csv,coarse,even,low,3405.0,2
locustfile_even_low_60_120_40_120s_3_requests.csv,coarse,even,low,3449.5,3
locustfile_even_low_60_120_40_120s_4_requests.csv,coarse,even,low,3454.9999999999995,4
locustfile_even_low_60_120_40_120s_5_requests.csv,coarse,even,low,3403.0999999999995,5
locustfile_even_low_60_120_40_120s_6_requests.csv,coarse,even,low,3434.2,6
locustfile_even_low_60_120_40_120s_7_requests.csv,coarse,even,low,3462.8999999999996,7
locustfile_even_low_60_120_40_120s_8_requests.csv,coarse,even,low,3506.2,8
locustfile_even_low_60_120_40_120s_9_requests.csv,coarse,even,low,3535.2000000000003,9
locustfile_even_low_60_120_40_120s_10_requests.csv,coarse,even,low,3476.3999999999996,10
locustfile_burst_high_0.01_120_40_10s_1_requests.csv,coarse,burst,high,3640.2999999999997,1
locustfile_burst_high_0.01_120_40_10s_2_requests.csv,coarse,burst,high,4303.8,2
locustfile_burst_high_0.01_120_40_10s_3_requests.csv,coarse,burst,high,4282.4,3
locustfile_burst_high_0.01_120_40_10s_4_requests.csv,coarse,burst,high,4318.200000000001,4
locustfile_burst_high_0.01_120_40_10s_5_requests.csv,coarse,burst,high,4317.4,5
locustfile_burst_high_0.01_120_40_10s_6_requests.csv,coarse,burst,high,4287.2,6
locustfile_burst_high_0.01_120_40_10s_7_requests.csv,coarse,burst,high,4094.7000000000003,7
locustfile_burst_high_0.01_120_40_10s_8_requests.csv,coarse,burst,high,4091.8,8
locustfile_burst_high_0.01_120_40_10s_9_requests.csv,coarse,burst,high,3997.4999999999995,9
