Experiment_ID,Average_Latency,Granularity,Distribution,Request_Amount,Iteration
med_even_high_7,7.680257257749997,med,even,high,7
med_even_high_8,8.214833916124993,med,even,high,8
med_even_high_9,8.294141792875006,med,even,high,9
med_even_low_1,43.463356762500055,med,even,low,1
med_even_low_10,15.679753149999971,med,even,low,10
med_even_low_3,19.573688499999662,med,even,low,3
med_even_low_4,15.999284850000095,med,even,low,4
med_even_low_5,17.335646962499343,med,even,low,5
med_even_low_6,17.56321403749991,med,even,low,6
med_even_low_7,21.07375002499974,med,even,low,7
med_even_med_1,13.613071231250004,med,even,med,1
med_even_med_10,10.565794886249991,med,even,med,10
med_even_med_2,11.608177958750012,med,even,med,2
med_even_med_3,29.126412203750018,med,even,med,3
med_even_med_4,12.5660326525,med,even,med,4
med_even_med_5,12.409424421250002,med,even,med,5
med_even_med_6,11.937312026250009,med,even,med,6
med_even_med_7,13.156679592499993,med,even,med,7
med_even_med_8,12.393357973749985,med,even,med,8
med_even_med_9,11.587329413750007,med,even,med,9
