filename,granularity,distribution,frequency,energy_consumption,id_number
locustfile_even_med_2_400_40_120s_9_requests.csv,coarse,even,med,3292.6,9
locustfile_even_med_2_400_40_120s_10_requests.csv,coarse,even,med,3275.2999999999997,10
locustfile_even_low_10_10_5_120s_1_requests.csv,coarse,even,low,3275.2,1
locustfile_even_low_10_10_5_120s_2_requests.csv,coarse,even,low,3265.7,2
locustfile_even_low_10_10_5_120s_3_requests.csv,coarse,even,low,3251.3999999999996,3
locustfile_even_low_10_10_5_120s_4_requests.csv,coarse,even,low,3290.3,4
locustfile_even_low_10_10_5_120s_5_requests.csv,coarse,even,low,3315.7999999999993,5
locustfile_even_low_10_10_5_120s_6_requests.csv,coarse,even,low,3273.2000000000007,6
locustfile_even_low_10_10_5_120s_7_requests.csv,coarse,even,low,3292.9999999999995,7
locustfile_even_low_10_10_5_120s_8_requests.csv,coarse,even,low,3268.5999999999995,8
locustfile_even_low_10_10_5_120s_9_requests.csv,coarse,even,low,3257.2000000000003,9
locustfile_even_low_10_10_5_120s_10_requests.csv,coarse,even,low,3281.2999999999993,10
locustfile_burst_high_0.01_20_10_10s_1_requests.csv,coarse,burst,high,4157.799999999999,1
locustfile_burst_high_0.01_20_10_10s_2_requests.csv,coarse,burst,high,3810.500000000001,2
locustfile_burst_high_0.01_20_10_10s_3_requests.csv,coarse,burst,high,3724.4000000000005,3
locustfile_burst_high_0.01_20_10_10s_4_requests.csv,coarse,burst,high,3723.5999999999995,4
locustfile_burst_high_0.01_20_10_10s_5_requests.csv,coarse,burst,high,3662.7,5
locustfile_burst_high_0.01_20_10_10s_6_requests.csv,coarse,burst,high,3604.7999999999997,6
locustfile_burst_high_0.01_20_10_10s_7_requests.csv,coarse,burst,high,3547.0999999999995,7
locustfile_burst_high_0.01_20_10_10s_8_requests.csv,coarse,burst,high,3604.9,8
locustfile_burst_high_0.01_20_10_10s_9_requests.csv,coarse,burst,high,3467.2,9
locustfile_burst_high_0.01_20_10_10s_10_requests.csv,coarse,burst,high,3526.5999999999995,10
locustfile_burst_high_0.1_20_10_10s_1_requests.csv,coarse,burst,med,3311.3999999999996,1
locustfile_burst_high_0.1_20_10_10s_2_requests.csv,coarse,burst,med,3362.1,2
locustfile_burst_high_0.1_20_10_10s_3_requests.csv,coarse,burst,med,3344.8,3
locustfile_burst_high_0.1_20_10_10s_4_requests.csv,coarse,burst,med,3422.5000000000005,4
locustfile_burst_high_0.1_20_10_10s_5_requests.csv,coarse,burst,med,3317.7,5
locustfile_burst_high_0.1_20_10_10s_6_requests.csv,coarse,burst,med,3302.9000000000005,6
locustfile_burst_high_0.1_20_10_10s_7_requests.csv,coarse,burst,med,3356.9,7
locustfile_burst_high_0.1_20_10_10s_8_requests.csv,coarse,burst,med,3325.2999999999997,8
locustfile_burst_high_0.1_20_10_10s_9_requests.csv,coarse,burst,med,3307.7999999999997,9
locustfile_burst_high_0.1_20_10_10s_10_requests.csv,coarse,burst,med,3278.8999999999996,10
locustfile_burst_high_1_20_10_10s_1_requests.csv,coarse,burst,low,3274.4,1
locustfile_burst_high_1_20_10_10s_2_requests.csv,coarse,burst,low,3236.7000000000007,2
locustfile_burst_high_1_20_10_10s_3_requests.csv,coarse,burst,low,3281.5999999999995,3
locustfile_burst_high_1_20_10_10s_4_requests.csv,coarse,burst,low,3270.7,4
locustfile_burst_high_1_20_10_10s_5_requests.csv,coarse,burst,low,3237.8,5
locustfile_burst_high_1_20_10_10s_6_requests.csv,coarse,burst,low,3215.9000000000005,6
locustfile_burst_high_1_20_10_10s_7_requests.csv,coarse,burst,low,3221.099999999999,7
locustfile_burst_high_1_20_10_10s_8_requests.csv,coarse,burst,low,3260.4,8
locustfile_burst_high_1_20_10_10s_9_requests.csv,coarse,burst,low,3232.2000000000003,9
locustfile_burst_high_1_20_10_10s_10_requests.csv,coarse,burst,low,3243.8,10
locustfile_even_high_0.2_20_10_120s_1_requests.csv,coarse,even,high,3480.6,1
locustfile_even_high_0.2_20_10_120s_2_requests.csv,coarse,even,high,3461.100000000001,2
locustfile_even_high_0.2_20_10_120s_3_requests.csv,coarse,even,high,3478.6000000000004,3
locustfile_even_high_0.2_20_10_120s_4_requests.csv,coarse,even,high,3501.3999999999996,4
locustfile_even_high_0.2_20_10_120s_5_requests.csv,coarse,even,high,3494.1000000000004,5
locustfile_even_high_0.2_20_10_120s_6_requests.csv,coarse,even,high,3461.5999999999995,6
locustfile_even_high_0.2_20_10_120s_7_requests.csv,coarse,even,high,3458.1000000000004,7
locustfile_even_high_0.2_20_10_120s_8_requests.csv,coarse,even,high,3726.3,8
locustfile_even_high_0.2_20_10_120s_9_requests.csv,coarse,even,high,4663.3,9
locustfile_even_high_0.2_20_10_120s_10_requests.csv,coarse,even,high,3744.4,10
locustfile_even_med_2_20_10_120s_1_requests.csv,coarse,even,med,3576.0999999999995,1
locustfile_even_med_2_20_10_120s_2_requests.csv,coarse,even,med,3388.3,2
locustfile_even_med_2_20_10_120s_3_requests.csv,coarse,even,med,3359.1000000000004,3
locustfile_even_med_2_20_10_120s_4_requests.csv,coarse,even,med,3362.2000000000003,4
locustfile_even_med_2_20_10_120s_5_requests.csv,coarse,even,med,3429.9,5
locustfile_even_med_2_20_10_120s_6_requests.csv,coarse,even,med,3407.7999999999997,6
locustfile_even_med_2_20_10_120s_7_requests.csv,coarse,even,med,3383.2000000000007,7
locustfile_even_med_2_20_10_120s_8_requests.csv,coarse,even,med,3374.4,8
locustfile_even_med_2_20_10_120s_9_requests.csv,coarse,even,med,3363.1,9
locustfile_even_med_2_20_10_120s_10_requests.csv,coarse,even,med,3380.7,10
locustfile_even_low_10_10_5_120s_1_requests.csv,coarse,even,low,3328.5,1
locustfile_even_low_10_10_5_120s_2_requests.csv,coarse,even,low,3314.3999999999996,2
locustfile_even_low_10_10_5_120s_3_requests.csv,coarse,even,low,3386.7999999999993,3
locustfile_even_low_10_10_5_120s_4_requests.csv,coarse,even,low,3387.4,4
locustfile_even_low_10_10_5_120s_5_requests.csv,coarse,even,low,3348.8999999999996,5
locustfile_even_low_10_10_5_120s_6_requests.csv,coarse,even,low,3369.9,6
locustfile_even_low_10_10_5_120s_7_requests.csv,coarse,even,low,3394.7,7
locustfile_even_low_10_10_5_120s_8_requests.csv,coarse,even,low,3353.1999999999994,8
locustfile_even_low_10_10_5_120s_9_requests.csv,coarse,even,low,3368.899999999999,9
locustfile_even_low_10_10_5_120s_10_requests.csv,coarse,even,low,3396.8,10
